Questions,Labels
헬로우,0
헬로,0
안부 인사드립니다.,0
먼저 인사하려고 했는데 짝남이 먼저 인사해줬어. 더 떨렸겠어요.,0
먼저 인사할까 했는데 짝녀가 먼저 인사해줬어. 기분 좋았겠네요.,0
각자 집에 인사드리러 가 제가 더 떨리네요.,0
이별의 마무리 가벼운 안부 인사일 거예요.,0
용기내서 새해인사 했네 이제 연락하지 마세요.,0
오늘 마지막 인사를 하러가네 미련없길 바랄게요.,0
오늘 마지막 인사하러 갑니다. 미련없이 정리했긴 바랍니다.,0
내 마음에 마지막 인사 마음이랑 잘 인사해요.,0
먼저 잘게 잘자 안녕히 주무세요.,0
진짜 이제 안녕 맘고생 많았어요.,0
잘가 안녕.,0
이제 진짜 안녕!! 안녕!,0
이젠 진짜 진짜 안녕 맘 고생 많았어요.,0
안녕을 고하며 잘 보내주었나요.,0
안녕하세 안녕하세요.,0
안녕하세요,0
반가워요,0
반가반가,0
방가방가,0
하이,0
안녕,0
좋은 아침이야,0
진짜 반갑다,0
요즘 어떻게 지냈어요?,0
잘 지냈습니까?,0
잘지내지?,0
만나서 반가워요,0
만나서 반갑습니다,0
하이루,0
반갑,0
잘지냈어요?,0
잘지냈어?,0
나 먼저 잘게 안녕히 주무세요.,0
안녕히 주무세요.,0
안녕 안녕하세요.,0
안녕안녕 안녕하세요.,0
안녕하세요 안녕하세요.,0
안뇽 안녕하세요.,0
자야겠다. 안녕히 주무세요.,0
이제 그만 잘래 안녕히 주무세요.,0
속시원해~~안녕 잘가~~~ 이제 정말 안녕,0
연락 처음에 어떻게 시작함 안녕 이라고 인사부터 해보세요.,0
연락 어떻게 시작함 안녕 이라고 인사부터 해보세요.,0
이제 거리 어디를 나서나 봄기운을 확연히 느낄 수 있는 계절입니다.,0
밝고 생동감 넘치는 사람들의 표정에서도 어느덧 봄 기운을 느낄 수 있습니다.,0
창문 틈으로 새어들어오는 따스한 햇볕이 온 몸을 훈훈하게 해 주는 따스한 계절 봄입니다.,0
따스한 봄 기운이 겨우내 잔뜩 움츠렸던 어깨를 활짝 펴주는 계절의 여왕 봄입니다.,0
일상의 단조로움을 환하게 밝혀주는 희망의 봄이 찾아왔습니다.,0
거리마다 개나리 등 봄꽃들이 마중나와 환한 웃음을 짓게하는 사랑스런 계절 봄이 왔습니다.,0
버들강아지 곱게 물이 오른 새봄의 기운 느끼시나요?,0
얼어있던 들판을 녹이며 솟아오르는 아리랑이가 잠시 잊고 지냈던 그리움을 느끼게 해 줍니다.,0
골목골목마다 봄 내음 물씬 풍겨오는 향기 가득한 계절 봄입니다.,0
무엇이든 할 수 있을 것 같은 활기차고 희망찬 계절 봄이 왔습니다.,0
반가운 손님처럼 어느새 찾아온 봄이 우리 주변을 향긋한 향기로 물들이고 있습니다.,0
좋은 일만 생길 것 같은 가슴 벅찬 설렘 바로 봄이 우리에게 주는 선물이 아닐까 합니다.,0
파릇파릇 새싹이 고개를 내밀며 인사하는 반가운 봄입니다.,0
계절의 여왕 그야말로 생동하는 희망의 계절 봄이 왔습니다.,0
거리를 노랗게 물들인 개나리와 불그스레 어린 신부의 부끄러움을 닮은 진달래꽃들의 향연이 즐거운 봄입니다.,0
맑은 하늘 아래 파릇파릇 봄기운이 흐르고 들녘마다 아지랑이가 피어나는 생동의 계절 봄입니다.,0
새로운 시작과 도전 꿈과 희망 열정이 떠오르는 계절 봄입니다.,0
겨우내 움츠렸던 꽃망울들이 서로 경쟁하듯 톡톡 터지며 저마다의 향기를 뽐내는 봄입니다.,0
어머니께서 가족들을 위해 쑥국과 냉이국을 끓여내던 따뜻한 추억이 문득 떠오르는 계절입니다.,0
겨우내 앙상했던 산들도 어느덧 피어오른 봄꽃들의 향연으로 눈이 즐거운 계절 봄입니다.,0
만물이 생동하는 봄이 왔습니다만 아직 겨울 끝자락의 매서움이 봄바람에 묻어나는 3월입니다.,0
왠지 좋은 인연을 만날 수 잇을 것 같은 사랑하고 싶은 계절 봄입니다.,0
신록의 푸르름에서 생동감을 느낄 수 있는 완연한 봄이 왔습니다.,0
벚꽃 만발한 거리를 걷다보면 꼭 저에게도 꽃내음이 묻어날 것 같네요.,0
우윳빛 목련꽃이 눈부시게 아름다운 봄입니다.,0
언제 겨울이었냐는 듯이 하루가 다르게 초록으로 변하는 산과 들의 향연에 눈이 즐거운 계절 봄입니다.,0
오늘 문득 올려다 본 하늘이 파란 물감을 풀어놓은 듯 너무 아름다웠습니다. 여러분들도 오늘 하루만이라도 머리를 들어 꼭 하늘을 바라보세요. 깊어진 봄 기운을 한껏 느끼실 수 있을 겁니다.,0
흩날리는 벚꽃이 가슴 설레게 하는 4월입니다.,0
모든 걸 훌훌 털어버리고 사랑하는 사람과 함께 봄 향기 가득한 곳으로 훌쩍 떠나고픈 4월입니다.,0
무르익어 가는 봄 코 끝을 스치는 라일락 향기가 마음까지 설레게 하는 계절입니다.,0
사랑하는 사람들이 생각나는 계절의 여왕 봄의 중심 5월입니다.,0
늘 곁에서 힘이 되어주고 용기를 심어주는 가족의 소중함을 새삼 깨닫게 해 주는 가정의 달 5월입니다.,0
산천에 피어있는 아카시아 꽃향기가 저물어가는 봄을 시위라도 하듯 진동하고 있는 황홀한 계절의 여왕 5월입니다.,0
시간이 참 빠른 것 같습니다. 해맞이 행사로 00년 새해를 맞이한 게 정말 엊그제 같은데 벌써 봄을 지나 여름을 향해 가고 있습니다.,0
산천 초목들의 녹음이 짙어가는 싱그러운 계절이 왔습니다.,0
시원한 바다 거센 파도 눈부신 햇살이 문득 그리운 계절 여름이 다가왔습니다.,0
젊은 열기가 느껴지는 젊음의 계절 여름입니다.,0
아카시아 꽃향기가 코끝을 간지럽히는 향기로운 6월입니다.,0
Questions,Labels
저는 현재 고등학교 2학년 입니다,1
고등학교 2학년 입니다,1
저는 고등학교 1학년 인데요,1
고등학교 1학년입니다,1
고등학교 2학년입니다,1
저는 현재 고등학교 3학년입니다,1
현재 고등학교 1학년입니다,1
저는 고등학교 1학년입니다,1
저는 고등학교 2학년입니다,1
안녕하세요 고1 학생입니다,1
고2 학생입니다,1
현 고2 학생입니다,1
저는 고3학생입니다,1
고1학생입니다,1
저는 고1 학생입니다,1
저는 경기도 고2 학생입니다,1
이번에 고1 올라간 학생입니다,1
저는 평범한 고1 학생입니다,1
저는 고1 학생 입니다,1
안녕하세요 고3 학생입니다,1
저는 미르 라는 고3 남자 학생입니다,1
이번에 고3으로 올라가는 학생입니다,1
이번에 고1 올라가는 학생입니다,1
현재 고등학교 1학년 학생입니다,1
서울특별시의 고등학교 1학년 학생입니다,1
고등학교 1학년 재학 중인 학생입니다,1
현재 지방 특성화고 경영사무과에 재학 중인 고등학교 2학년 학생입니다,1
고등학교2학년인 학생입니다,1
현재 고등학교 1학년에 재학 중인 학생입니다,1
저는 곧 고등학교 2학년으로 올라가는 학생입니다,1
현재 고등학교 2학년에 재학 중인 학생입니다,1
저는 고등학교 1학년 학생입니다,1
저는 일반공립고등학교 1학년 재학 중인 학생입니다,1
저는 고등학교 2학년 학생입니다,1
고등학교 1학년 재학중인 학생입니다,1
저는 현재 고등학교 2학년을 재학 중인 학생입니다,1
고등학교 1학년 학생입니다,1
현재 고등학교 1학년 재학 중인 학생입니다,1
일반고 재학중인 고등학교 2학년 학생입니다,1
올해 고등학교 1학년인 학생입니다,1
고등학교 2학년인 학생입니다,1
현재 일본어과에 재학중인 고등학교 2학년 학생입니다,1
현재 고등학교 2학년 학생입니다,1
이번에 고등학교 올라가는 학생입니다,1
고등학교 1학년인 학생입니다,1
저는 현재 고등학교 3학년인 학생입니다,1
저는 현재 고등학교 1학년 학생입니다,1
올해 고등학교2학년 학생입니다,1
저는 고등학교2학년 학생입니다,1
저는 고등학교에 재학중인 1학년학생입니다,1
안녕하세요 저는 중학교 2학년 학생입니다,1
저는 중학교 1학년남자학생입니다,1
안녕하세요 중학교 1학년 학생입니다,1
올해 중학교 1학년인 학생입니다,1
저는 삼정자 중학교 2학년 재학중인 학생입니다,1
저는 이번에 중학교 3학년에 올라가는 학생입니다,1
저는 중1 학생 입니다,1
저는 중3 학생입니다,1
예산사는 중3학생입니다,1
저는 중1 학생입니다,1
저는 중1학생입니다,1
중3학생입니다,1
저는 중2 학생입니다,1
저는 중학교 1학년 학생입니다,1
저는 중학교 2학년 학생입니다,1
중학교 1학년 학생입니다,1
중학교 2학년 학생입니다,1
저는 중학교 3학년 장대한 학생입니다,1
저는 중학교2학년 학생입니다,1
2020년 올해 14살 중학교1학년 학생입니다,1
중학교 1학년인 학생입니다,1
저는 중학교 3학년 학생입니다,1
중학교 3학년 학생입니다,1
SH입니다,1
저는 05년생 김민지입니다,1
정승현입니다,1
05년생 입니다,1
윤진입니다,1
이상입니다,1
이윤호입니다,1
입니다 ,1
입니다,1
이승언 입니다,1
저는 최진혁입니다,1
김기태 입니다,1
라는 것 입니다,1
홍지민 입니다,1
조예은 입니다,1
저는 중학교2학년입니다,1
저는 중학교 3학년입니다,1
중학교 3학년인 김태린입니다,1
저는 중학교2학년 입니다,1
저는 중학교 2학년 입니다,1
중학교 2학년 최민렬 입니다,1
저는 중학교 3학년 입니다,1
저는 아직 중학교1학년입니다,1
현재 중학교 3학년 학생입니다,1
저는 중학교 1학년 입니다,1
저는 중학교 1학년입니다,1
고1 입니다,1
고2이혁재입니다,1
고1입니다,1
저는 고1입니다,1
저는 고3입니다,1
고3입니다,1
저는 중1 여학생입니다,1
저는 중3 여학생입니다,1
중1 여학생입니다,1
저는 중 1여학생입니다,1
중3 여학생입니다,1
17살 학생입니다,1
16살 학생입니다,1
저는15살 학생입니다,1
14살 학생입니다,1
16살 학생 입니다,1
저는 18살 학생입니다,1
중학교2학년여학생입니다,1
중학교 1학년 여학생입니다,1
저는 중학교 3학년 여학생입니다,1
저는 중학교 1학년 여학생 입니다,1
중학교 2학년 여학생입니다,1
저는 중학교 1학년 어느한 여학생입니다,1
저는 중학교 2학년 여학생입니다,1
저는 중학교3학년 여학생입니다,1
저는 중학교 1학년 여학생입니다,1
일단 특성화고를 다니고 있는 고2 학생입니다,1
일반고에 다니는 고1 학생입니다,1
저는 인문계를 다니고 있는 고1 학생 입니다,1
저는 일반고에 다니는 고1학생입니다,1
저는 일반고에 다니고 있는 고3 학생입니다,1
평범한 인문계 다니는 고3 학생 입니다,1
저는 이제 예비 고3이 되는 학생입니다,1
이제 고1이 되는 예비 고1입니다,1
이제 고1이 되는 학생입니다,1
저는 이제 고1이된 학생입니다,1
이제 고1이 된 학생입니다,1
저는 이제 고 1이 되는 학생입니다,1
